PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43470,Yes,4,44,Apartment,1,23/02/2024
43474,Yes,4,44,Apartment,1,23/02/2024
43461,Yes,4,66,Apartment,2,02/01/2024
43448,Yes,2,38,Apartment,1,24/10/2023
43445,Yes,4,57,Apartment,1,03/11/2023
43443,Yes,5,68,Apartment,3,22/10/2023
43432,Yes,5,64,Apartment,4,03/08/2023
43430,Yes,3,40,Apartment,1,09/06/2023
43429,Yes,4,50,Apartment,2,07/06/2023
43428,Yes,4,65,Apartment,2,28/05/2023
43427,Yes,4,50,Apartment,2,05/06/2023
43426,Yes,4,65,Apartment,2,05/06/2023
43425,Yes,10,160,House,5,28/05/2023
43424,Yes,3,70,Apartment,3,28/05/2023
43423,Yes,7,70,Apartment,4,28/05/2023
43422,Yes,5,55,Apartment,2,18/06/2023
43421,Yes,7,90,Apartment,4,28/05/2023
43420,Yes,3,45,Apartment,1,12/06/2023
43418,Yes,10,150,Apartment,4,28/05/2023
43417,Yes,6,60,Apartment,4,28/05/2023
43411,Yes,7,90,Apartment,4,28/05/2023
43412,Yes,8,80,Apartment,3,28/05/2023
43413,Yes,7,90,Apartment,4,28/05/2023
43407,Yes,6,103,Apartment,3,05/04/2023
43401,Yes,6,100,Apartment,3,17/04/2023
43398,Yes,6,84,Apartment,3,19/03/2023
43395,Yes,6,130,Apartment,3,08/03/2023
43366,Yes,3,120,Apartment,1,28/11/2022
43367,Yes,4,95,Apartment,2,17/01/2023
43363,Yes,4,60,Apartment,2,13/11/2022
43349,Yes,8,106,Apartment,4,26/09/2022
43340,Yes,5,72,Apartment,3,28/07/2022
43324,Yes,4,61,Apartment,2,18/06/2022
43320,Yes,6,103,Apartment,3,17/06/2022
43319,Yes,2,65,Apartment,1,07/06/2022
43318,Yes,2,80,Apartment,1,01/07/2022
43317,Yes,4,100,Apartment,2,17/06/2022
43316,Yes,2,100,Apartment,1,01/07/2022
43314,Yes,6,108,Apartment,3,10/06/2022
43311,Yes,6,85,Apartment,3,01/06/2022
43310,Yes,4,75,Apartment,2,02/06/2022
43308,Yes,4,45,Apartment,1,18/06/2022
43306,Yes,4,54,Apartment,2,04/06/2022
43393,Yes,4,54,Apartment,2,12/02/2023
43305,Yes,4,45,Apartment,3,18/05/2022
43303,Yes,2,47,Apartment,1,16/05/2022
43297,Yes,6,62,Apartment,2,05/05/2022
43291,Yes,6,96,Apartment,3,27/05/2022
43288,Yes,4,45,Apartment,1,14/04/2022
43285,Yes,2,40,Apartment,1,15/05/2022
43284,Yes,2,40,Apartment,1,11/05/2022
43281,Yes,2,40,Apartment,1,14/03/2022
43332,Yes,2,40,Apartment,1,12/07/2022
43333,Yes,2,40,Apartment,1,12/07/2022
43312,Yes,2,40,Apartment,1,15/06/2022
43313,Yes,2,40,Apartment,1,19/07/2022
43334,Yes,2,40,Apartment,1,14/07/2022
43348,Yes,2,40,Apartment,1,26/08/2022
43276,Yes,5,64,Apartment,4,15/02/2022
43247,Yes,10,140,Apartment,4,14/03/2022
43246,Yes,6,99,Apartment,3,01/12/2021
43237,Yes,4,64,Apartment,2,16/10/2021
43235,Yes,10,523,Apartment,5,01/09/2021
43224,Yes,5,65,Apartment,2,18/07/2021
43221,Yes,7,194,Apartment,3,01/06/2021
43279,Yes,4,55,Apartment,2,05/03/2022
43217,Yes,9,329,Apartment,3,17/05/2021
43215,Yes,5,110,Apartment,2,29/04/2021
43213,Yes,2,41,Apartment,1,02/05/2021
43212,Yes,2,41,Apartment,2,02/05/2021
43211,Yes,3,41,Apartment,1,02/05/2021
43204,Yes,2,89,Apartment,1,18/03/2021
43194,Yes,8,95,Apartment,3,18/03/2021
43187,Yes,2,60,Apartment,1,27/12/2020
43177,Yes,6,75,Apartment,3,25/10/2020
43176,Yes,6,77,Apartment,2,23/02/2021
43171,Yes,5,78,Apartment,2,19/07/2024
43170,Yes,4,70,Apartment,2,02/10/2020
43169,Yes,6,92,Apartment,3,19/09/2020
43168,Yes,4,60,Apartment,2,24/09/2020
43167,Yes,6,101,Apartment,3,25/09/2020
43165,Yes,4,65,Apartment,3,01/12/2020
43164,Yes,6,108,Apartment,3,11/09/2020
43163,Yes,7,96,Apartment,3,07/09/2020
43159,Yes,4,69,Apartment,2,15/10/2020
43139,Yes,4,65,Apartment,2,14/10/2020
43141,Yes,6,82,Apartment,3,17/07/2020
43140,Yes,4,124,Apartment,2,17/07/2020
43137,Yes,9,113,Apartment,4,27/08/2020
43142,Yes,6,82,Apartment,3,17/07/2020
43143,Yes,6,67,Apartment,3,17/07/2020
43144,Yes,6,50,Apartment,3,17/07/2020
43145,Yes,7,82,Apartment,3,17/07/2020
43146,Yes,6,67,Apartment,3,17/07/2020
43147,Yes,3,71,Apartment,3,17/07/2020
43119,Yes,4,66,Apartment,1,08/09/2020
43120,Yes,4,58,Apartment,2,29/07/2020
43121,Yes,4,58,Apartment,2,29/08/2020
43122,Yes,4,58,Apartment,2,13/09/2020
43123,Yes,4,58,Apartment,2,25/07/2020
43124,Yes,4,58,Apartment,2,30/09/2020
43125,Yes,4,58,Apartment,2,13/10/2020
43126,Yes,4,58,Apartment,2,18/10/2020
43127,Yes,4,58,Apartment,2,14/10/2020
43128,Yes,3,58,Apartment,2,29/08/2020
43118,Yes,6,84,Apartment,2,10/11/2020
43117,Yes,6,58,Apartment,2,01/10/2020
43096,Yes,8,140,Apartment,4,10/07/2020
43158,Yes,4,75,Apartment,2,17/08/2020
43099,Yes,4,75,Apartment,2,12/07/2020
43095,Yes,7,75,Apartment,3,01/07/2020
43076,Yes,7,83,Apartment,3,19/04/2020
43075,Yes,7,106,Apartment,3,13/04/2020
43074,Yes,11,120,Apartment,4,20/04/2020
43069,Yes,9,110,Apartment,3,01/02/2020
43068,Yes,7,80,Apartment,2,31/01/2020
43397,Yes,6,150,Apartment,2,23/06/2023
43066,Yes,12,80,Apartment,5,26/12/2019
43065,Yes,5,100,Apartment,3,18/12/2019
43064,Yes,11,145,Apartment,5,18/01/2020
43061,Yes,6,95,Apartment,2,05/12/2019
43056,Yes,4,50,Apartment,1,25/10/2019
43055,Yes,4,55,Apartment,2,11/11/2019
43054,Yes,6,116,Apartment,2,30/10/2019
43053,Yes,2,67,Apartment,1,28/10/2019
43052,Yes,6,116,Apartment,2,31/10/2019
43051,Yes,2,65,Apartment,1,31/10/2019
43050,Yes,10,148,Apartment,3,02/11/2019
43049,Yes,8,127,Apartment,3,28/10/2019
43048,Yes,8,119,Apartment,3,20/10/2019
43041,Yes,4,50,Apartment,2,02/08/2019
43042,Yes,4,50,Apartment,2,02/08/2019
43044,Yes,4,50,Apartment,2,02/08/2019
43038,Yes,6,73,Apartment,2,13/06/2019
43037,Yes,8,106,Apartment,3,21/06/2019
43036,Yes,12,144,Apartment,4,06/06/2019
43035,Yes,6,74,Apartment,2,21/06/2019
43034,Yes,12,163,Apartment,4,14/06/2019
43033,Yes,7,80,Apartment,3,12/06/2019
43031,Yes,8,64,Apartment,3,22/05/2019
43030,Yes,8,80,Apartment,3,31/05/2019
43028,Yes,8,59,Apartment,3,24/05/2019
43026,Yes,5,110,Apartment,4,27/05/2019
43025,Yes,4,60,Apartment,2,04/05/2019
43024,Yes,4,49,Apartment,2,03/05/2019
43019,Yes,6,73,Apartment,4,02/04/2019
43093,Yes,6,68,Apartment,3,01/12/2020
43016,Yes,5,122,Apartment,3,25/02/2019
43015,Yes,5,41,Apartment,2,14/02/2019
43009,Yes,4,67,Apartment,2,02/02/2019
43006,Yes,5,77,Apartment,3,16/01/2019
43004,Yes,4,50,Apartment,2,20/12/2018
43003,Yes,4,50,Apartment,2,20/12/2018
42997,Yes,4,45,Apartment,2,24/10/2018
42998,Yes,4,45,Apartment,2,24/10/2018
42996,Yes,4,50,Apartment,2,09/08/2018
43406,Yes,4,50,Apartment,2,29/04/2023
42990,Yes,4,40,Apartment,2,26/05/2018
42962,Yes,6,81,Apartment,3,21/04/2018
42954,Yes,3,80,Apartment,2,02/05/2018
43507,Yes,6,100,Apartment,3,30/03/2024
42684,Yes,3,70,Apartment,1,07/03/2017
42674,Yes,2,40,Apartment,1,25/02/2017
42652,Yes,6,70,Apartment,3,27/02/2017
42608,Yes,4,60,Apartment,2,16/11/2016
42607,Yes,4,55,Apartment,1,18/11/2016
42673,Yes,6,70,Apartment,4,01/03/2017
42605,Yes,6,70,Apartment,4,26/02/2017
42807,Yes,5,64,Apartment,4,27/06/2017
42888,Yes,5,64,Apartment,3,24/02/2018
43408,Yes,5,64,Apartment,4,07/06/2023
42994,Yes,5,64,Apartment,4,03/07/2018
21699,Yes,4,69,Apartment,2,25/05/2016
14947,Yes,4,45,Apartment,1,06/05/2016
12688,Yes,6,70,Apartment,2,05/05/2016
9973,Yes,6,60,Apartment,2,14/02/2016
9971,Yes,4,70,Apartment,2,23/02/2016
6286,Yes,4,70,Apartment,2,29/05/2015
5934,Yes,4,40,Apartment,1,01/03/2015
5933,Yes,4,40,Apartment,1,28/02/2015
5931,Yes,4,40,Apartment,1,28/02/2015
5930,Yes,4,40,Apartment,1,27/02/2015
42852,Yes,7,100,Apartment,4,09/11/2017
4952,Yes,6,89,Apartment,3,03/07/2014
4789,Yes,4,45,Apartment,1,01/05/2014
4785,Yes,4,45,Apartment,1,25/05/2014
4790,Yes,4,45,Apartment,1,01/05/2014
4788,Yes,4,45,Apartment,1,10/05/2014
4787,Yes,6,45,Apartment,2,01/05/2014
4786,Yes,6,45,Apartment,2,01/05/2014
3963,Yes,4,50,Apartment,1,13/06/2013
4928,Yes,3,80,Apartment,2,11/06/2014
4259,Yes,6,80,Apartment,3,21/10/2013
2883,Yes,8,110,Apartment,3,28/12/2011
4138,Yes,5,60,Apartment,2,07/08/2013
4710,Yes,6,75,Apartment,3,15/04/2014
43493,Yes,5,50,Apartment,2,23/02/2024
43163,Yes,8,96,Apartment,3,07/09/2020
43016,Yes,6,122,Apartment,3,25/02/2019
43495,Yes,7,67,Apartment,4,07/06/2024
43517,Yes,5,64,Apartment,1,24/05/2024
43026,Yes,6,110,Apartment,4,27/05/2019
43539,Yes,5,70,Apartment,2,20/03/2024
42996,Yes,5,50,Apartment,2,09/08/2018
43528,Yes,3,70,Apartment,1,26/03/2024
43621,Yes,6,64,Apartment,4,20/09/2024
43221,Yes,8,194,Apartment,3,01/06/2021
43303,Yes,3,47,Apartment,1,16/05/2022
43138,Yes,8,111,Apartment,4,01/09/2020
43363,Yes,5,60,Apartment,2,13/11/2022
43164,Yes,7,108,Apartment,3,11/09/2020
43316,Yes,3,100,Apartment,1,01/07/2022
43074,Yes,12,120,Apartment,4,20/04/2020
43542,Yes,7,70,Apartment,3,25/03/2024
43428,Yes,5,65,Apartment,2,28/05/2023
43445,Yes,5,57,Apartment,1,03/11/2023
43279,Yes,5,55,Apartment,2,05/03/2022
43093,Yes,7,68,Apartment,3,01/12/2020
43069,Yes,10,110,Apartment,3,01/02/2020
9973,Yes,7,60,Apartment,2,14/02/2016
43056,Yes,5,50,Apartment,1,25/10/2019
21699,Yes,5,69,Apartment,2,25/05/2016
43030,Yes,9,80,Apartment,3,31/05/2019
